SampleID	Population
AMR___MXL___NA19722	American
AMR___MXL___NA19723	American
AMR___MXL___NA19725	American
AMR___MXL___NA19726	American
AMR___MXL___NA19728	American
AMR___MXL___NA19729	American
AMR___MXL___NA19731	American
AMR___MXL___NA19732	American
AMR___MXL___NA19734	American
AMR___MXL___NA19735	American
AMR___MXL___NA19740	American
AMR___MXL___NA19741	American
AMR___MXL___NA19746	American
AMR___MXL___NA19747	American
AMR___MXL___NA19749	American
AMR___MXL___NA19750	American
AMR___MXL___NA19752	American
AMR___MXL___NA19755	American
AMR___MXL___NA19756	American
AMR___MXL___NA19758	American
AMR___MXL___NA19759	American
AMR___MXL___NA19761	American
AMR___MXL___NA19762	American
AMR___MXL___NA19764	American
AMR___MXL___NA19770	American
AMR___MXL___NA19771	American
AMR___MXL___NA19773	American
AMR___MXL___NA19774	American
AMR___MXL___NA19776	American
AMR___MXL___NA19777	American
AMR___MXL___NA19779	American
AMR___MXL___NA19780	American
AMR___MXL___NA19782	American
AMR___MXL___NA19783	American
AMR___MXL___NA19785	American
AMR___MXL___NA19786	American
AMR___MXL___NA19788	American
AMR___MXL___NA19789	American
AMR___MXL___NA19792	American
AMR___MXL___NA19794	American
AMR___MXL___NA19795	American
AMR___PEL___HG01565	American
AMR___PEL___HG01566	American
AMR___PEL___HG01571	American
AMR___PEL___HG01572	American
AMR___PEL___HG01577	American
AMR___PEL___HG01578	American
AMR___PEL___HG01892	American
AMR___PEL___HG01893	American
AMR___PEL___HG01917	American
AMR___PEL___HG01918	American
AMR___PEL___HG01920	American
AMR___PEL___HG01921	American
AMR___PEL___HG01923	American
AMR___PEL___HG01924	American
AMR___PEL___HG01926	American
AMR___PEL___HG01927	American
AMR___PEL___HG01932	American
AMR___PEL___HG01933	American
AMR___PEL___HG01935	American
AMR___PEL___HG01936	American
AMR___PEL___HG01938	American
AMR___PEL___HG01939	American
AMR___PEL___HG01941	American
AMR___PEL___HG01942	American
AMR___PEL___HG01944	American
AMR___PEL___HG01945	American
AMR___PEL___HG01947	American
AMR___PEL___HG01948	American
AMR___PEL___HG01950	American
AMR___PEL___HG01951	American
AMR___PEL___HG01953	American
AMR___PEL___HG01954	American
AMR___PEL___HG01961	American
AMR___PEL___HG01965	American
AMR___PEL___HG01967	American
AMR___PEL___HG01968	American
AMR___PEL___HG01970	American
AMR___PEL___HG01971	American
AMR___PEL___HG01973	American
AMR___PEL___HG01974	American
AMR___PEL___HG01976	American
AMR___PEL___HG01977	American
AMR___PEL___HG01979	American
AMR___PEL___HG01980	American
AMR___PEL___HG01982	American
AMR___PEL___HG01991	American
AMR___PEL___HG01992	American
AMR___PEL___HG01997	American
AMR___PEL___HG02002	American
AMR___PEL___HG02003	American
AMR___PEL___HG02006	American
AMR___PEL___HG02008	American
AMR___PEL___HG02089	American
AMR___PEL___HG02090	American
AMR___PEL___HG02102	American
AMR___PEL___HG02104	American
AMR___PEL___HG02105	American
AMR___PEL___HG02146	American
AMR___PEL___HG02147	American
AMR___PEL___HG02150	American
AMR___PEL___HG02252	American
AMR___PEL___HG02253	American
AMR___PEL___HG02259	American
AMR___PEL___HG02260	American
AMR___PEL___HG02262	American
AMR___PEL___HG02265	American
AMR___PEL___HG02266	American
AMR___PEL___HG02271	American
AMR___PEL___HG02272	American
AMR___PEL___HG02274	American
AMR___PEL___HG02275	American
AMR___PEL___HG02277	American
AMR___PEL___HG02278	American
AMR___PEL___HG02285	American
AMR___PEL___HG02286	American
AMR___PEL___HG02291	American
AMR___PEL___HG02292	American
AMR___PEL___HG02298	American
AMR___PEL___HG02299	American
AMR___PEL___HG02301	American
AMR___PEL___HG02304	American
AMR___PEL___HG02312	American
AMR___PEL___HG02345	American
AMR___PEL___HG02348	American
AMR___PEL___HG02425	American
AMR___PUR___HG00551	American
AMR___PUR___HG00553	American
AMR___PUR___HG00554	American
AMR___PUR___HG00637	American
AMR___PUR___HG00638	American
AMR___PUR___HG00640	American
AMR___PUR___HG00641	American
AMR___PUR___HG00731	American
AMR___PUR___HG00732	American
AMR___PUR___HG00734	American
AMR___PUR___HG00736	American
AMR___PUR___HG00737	American
AMR___PUR___HG00739	American
AMR___PUR___HG00740	American
